Timestamp,How certain about your guess are you?,What was the outcome?
26/03/2024 19:09:41,6,Guessed right
26/03/2024 19:11:33,7,Guessed right
26/03/2024 19:12:28,7,Guessed wrong
26/03/2024 19:12:58,0,Guessed wrong
26/03/2024 19:13:01,3,Guessed right
26/03/2024 19:13:23,7,Guessed wrong
26/03/2024 19:13:23,10,Guessed right
26/03/2024 19:13:40,5,Guessed right
26/03/2024 19:13:41,9,Guessed right
26/03/2024 19:13:44,0,Guessed wrong
26/03/2024 19:14:33,8,Guessed right
26/03/2024 19:14:40,7,Guessed right
26/03/2024 19:14:45,9,Guessed right
26/03/2024 19:14:49,6,Guessed right
26/03/2024 19:14:49,0,Guessed right
26/03/2024 19:14:54,1,Guessed right
26/03/2024 19:14:56,8,Guessed wrong
26/03/2024 19:14:57,7,Guessed right
26/03/2024 19:14:59,1,Guessed wrong
26/03/2024 19:15:19,0,Guessed right
26/03/2024 19:15:25,10,Guessed right
26/03/2024 19:15:53,3,Guessed right
26/03/2024 19:15:55,8,Guessed right
26/03/2024 19:16:00,7,Guessed right
26/03/2024 19:16:01,0,Guessed right
26/03/2024 19:16:06,5,Guessed right
26/03/2024 19:16:07,9,Guessed wrong
26/03/2024 19:16:21,7,Guessed right
26/03/2024 19:16:26,3,Guessed wrong
26/03/2024 19:16:36,10,Guessed right
26/03/2024 19:16:42,3,Guessed wrong
26/03/2024 19:16:43,8,Guessed wrong
26/03/2024 19:16:46,7,Guessed right
26/03/2024 19:16:50,7,Guessed right
26/03/2024 19:16:50,2,Guessed wrong
26/03/2024 19:16:55,10,Guessed right
26/03/2024 19:16:58,8,Guessed right
26/03/2024 19:17:17,7,Guessed right
26/03/2024 19:17:30,6,Guessed wrong
26/03/2024 19:17:37,6,Guessed right
26/03/2024 19:17:38,5,Guessed wrong
26/03/2024 19:17:41,6,Guessed right
26/03/2024 19:17:41,7,Guessed wrong
26/03/2024 19:17:41,5,Guessed right
26/03/2024 19:17:43,10,Guessed right
26/03/2024 19:17:54,9,Guessed right
26/03/2024 19:18:02,6,Guessed wrong
26/03/2024 19:18:25,7,Guessed right
26/03/2024 19:18:29,6,Guessed wrong
26/03/2024 19:18:50,3,Guessed right
26/03/2024 19:18:52,7,Guessed wrong
26/03/2024 19:21:14,8,Guessed wrong
26/03/2024 19:21:28,10,Guessed right
